maxKnowledge 1 maxParagraph 1 maxQuestion 1 randomeSeed 0
max_knowledge 1 max_paragraph 1 max_questions 1
kvlen:  258
KVcache prepared in 0.29360318183898926 seconds
predict one token time: 0.03928184509277344,
cat one token time: 5.888938903808594e-05,
predict one token time: 0.034740447998046875,
cat one token time: 2.0503997802734375e-05,
predict one token time: 0.027814388275146484,
cat one token time: 1.9788742065429688e-05,
predict one token time: 0.02714085578918457,
cat one token time: 1.811981201171875e-05,
predict one token time: 0.026671648025512695,
cat one token time: 1.9073486328125e-05,
predict one token time: 0.02685260772705078,
cat one token time: 1.9311904907226562e-05,
predict one token time: 0.0271756649017334,
cat one token time: 1.8596649169921875e-05,
predict one token time: 0.027350902557373047,
cat one token time: 1.811981201171875e-05,
predict one token time: 0.027196407318115234,
cat one token time: 1.8835067749023438e-05,
predict one token time: 0.02676987648010254,
cat one token time: 1.811981201171875e-05,
predict one token time: 0.02666187286376953,
cat one token time: 1.7642974853515625e-05,
predict one token time: 0.02665877342224121,
cat one token time: 1.8596649169921875e-05,
predict one token time: 0.027057886123657227,
cat one token time: 1.9073486328125e-05,
predict one token time: 0.027347803115844727,
cat one token time: 1.7881393432617188e-05,
predict one token time: 0.02700185775756836,
cat one token time: 1.7881393432617188e-05,
predict one token time: 0.02667093276977539,
cat one token time: 1.8596649169921875e-05,
predict one token time: 0.026654958724975586,
cat one token time: 1.7404556274414062e-05,
predict one token time: 0.02671647071838379,
cat one token time: 1.7642974853515625e-05,
predict one token time: 0.02698659896850586,
cat one token time: 1.9073486328125e-05,
predict one token time: 0.02768731117248535,
cat one token time: 1.8358230590820312e-05,
predict one token time: 0.027167797088623047,
cat one token time: 1.811981201171875e-05,
predict one token time: 0.026585102081298828,
cat one token time: 1.8358230590820312e-05,
predict one token time: 0.026654481887817383,
cat one token time: 1.8358230590820312e-05,
predict one token time: 0.026594161987304688,
cat one token time: 1.7881393432617188e-05,
predict one token time: 0.026929855346679688,
cat one token time: 1.8596649169921875e-05,
predict one token time: 0.027239561080932617,
cat one token time: 1.811981201171875e-05,
predict one token time: 0.02700972557067871,
cat one token time: 1.7642974853515625e-05,
predict one token time: 0.02661275863647461,
cat one token time: 1.811981201171875e-05,
predict one token time: 0.026676654815673828,
cat one token time: 1.8358230590820312e-05,
predict one token time: 0.026656150817871094,
cat one token time: 1.8358230590820312e-05,
predict one token time: 0.026996374130249023,
cat one token time: 1.7881393432617188e-05,
